Time,Strength,Firsts,Lasts,Minimum,Maximum,Interpolated
5/14/2025 20:00,4:43,4:37,4:44,3:54,5:15,0:00
5/14/2025 21:00,4:31,4:22,4:35,3:40,5:06,0:00
5/14/2025 22:00,4:16,4:06,4:18,3:30,4:42,0:00
5/14/2025 23:00,4:06,3:57,4:06,3:26,4:28,0:00
5/15/2025 0:00,3:56,3:51,3:59,3:21,4:21,0:00
5/15/2025 1:00,3:52,3:48,3:55,3:18,4:20,0:00
5/15/2025 2:00,3:51,3:50,3:54,3:17,4:23,0:00
5/15/2025 3:00,3:49,3:52,3:51,3:18,4:20,0:00
5/15/2025 4:00,3:45,3:50,3:46,3:16,4:16,0:00
5/15/2025 5:00,3:42,3:49,3:44,3:16,4:17,0:00
5/15/2025 6:00,3:51,3:57,3:51,3:24,4:22,0:00
5/15/2025 7:00,4:12,4:14,4:11,3:41,4:40,0:00
5/15/2025 8:00,4:43,4:45,4:42,3:55,5:32,0:00
5/15/2025 9:00,4:53,4:56,4:44,4:03,5:39,0:00
5/15/2025 10:00,5:00,5:11,4:57,4:16,5:58,0:00
5/15/2025 11:00,4:40,4:49,4:40,4:01,5:42,0:00
5/15/2025 12:00,4:48,4:50,4:44,4:00,5:52,0:00
5/15/2025 13:00,4:44,4:46,4:43,3:58,5:38,0:00
5/15/2025 14:00,4:56,4:58,4:53,4:07,5:41,0:00
5/15/2025 15:00,4:50,4:54,4:49,4:01,5:39,0:00
5/15/2025 16:00,4:40,4:39,4:37,3:55,5:24,0:00
5/15/2025 17:00,4:43,4:44,4:38,3:58,5:30,0:00
5/15/2025 18:00,4:33,4:36,4:30,3:49,5:18,0:00
5/15/2025 19:00,4:31,4:37,4:26,3:45,5:16,0:00
5/15/2025 20:00,4:17,4:18,4:08,3:28,4:51,0:00
5/15/2025 21:00,4:14,4:17,4:10,3:26,4:53,0:00
5/15/2025 22:00,4:04,4:04,4:01,3:24,4:26,0:00
5/15/2025 23:00,3:58,3:58,3:56,3:24,4:19,0:00
5/16/2025 0:00,3:55,3:54,3:55,3:25,4:12,0:00
5/16/2025 1:00,3:53,3:50,3:54,3:20,4:07,0:00
5/16/2025 2:00,3:52,3:49,3:52,3:19,4:07,0:00
5/16/2025 3:00,3:45,3:45,3:49,3:17,4:05,0:00
5/16/2025 4:00,3:45,3:46,3:48,3:16,4:04,0:00
5/16/2025 5:00,3:43,3:44,3:46,3:15,4:04,0:00
5/16/2025 6:00,3:50,3:47,3:55,3:21,4:12,0:00
5/16/2025 7:00,4:13,4:07,4:11,3:33,4:42,0:00
5/16/2025 8:00,4:47,4:44,4:52,4:05,5:32,0:00
5/16/2025 9:00,4:51,4:51,4:49,4:03,5:41,0:00
5/16/2025 10:00,4:32,4:29,4:26,3:47,5:12,0:00
5/16/2025 11:00,4:40,4:40,4:38,3:57,5:31,0:00
5/16/2025 12:00,4:49,4:52,4:46,4:02,5:32,0:00
5/16/2025 13:00,5:07,5:09,5:04,4:10,6:00,0:00
5/16/2025 14:00,5:13,5:14,5:16,4:19,6:11,0:00
5/16/2025 15:00,4:54,4:53,4:57,4:04,5:45,0:00
5/16/2025 16:00,4:55,4:57,4:50,4:08,5:42,0:00
5/16/2025 17:00,5:00,5:05,4:55,4:07,6:01,0:00
5/16/2025 18:00,4:52,4:44,4:43,3:59,5:36,0:00
5/16/2025 19:00,5:08,5:02,5:01,4:18,5:49,0:00
5/16/2025 20:00,4:52,4:52,4:49,3:59,5:32,0:00
5/16/2025 21:00,4:36,4:36,4:43,3:54,5:24,0:00
5/16/2025 22:00,4:30,4:30,4:41,3:49,5:25,0:00
5/16/2025 23:00,4:19,4:19,4:23,3:43,5:01,0:00
5/19/2025 0:00,4:12,4:10,4:15,3:39,4:42,0:00
