Time,Strength,Firsts,Lasts,Minimum,Maximum,Interpolated
4/15/2025 18:00,4:53,4:57,4:45,3:59,6:02,0:00
4/15/2025 19:00,4:48,4:57,4:38,3:59,5:53,0:00
4/15/2025 20:00,4:49,5:01,4:39,4:02,5:39,0:00
4/15/2025 21:00,4:52,4:58,4:45,4:11,5:35,0:00
4/15/2025 22:00,4:47,4:55,4:39,4:08,5:25,0:00
4/15/2025 23:00,4:39,4:40,4:32,4:04,5:16,0:00
4/16/2025 0:00,4:36,4:37,4:27,4:02,5:14,0:00
4/16/2025 1:00,4:38,4:40,4:31,4:07,5:19,0:00
4/16/2025 2:00,4:35,4:41,4:32,4:08,5:19,0:00
4/16/2025 3:00,4:48,4:51,4:47,4:17,5:30,0:00
4/16/2025 4:00,4:38,4:43,4:38,4:09,5:12,0:00
4/16/2025 5:00,4:11,4:15,4:06,3:39,4:33,0:00
4/16/2025 6:00,4:08,4:11,4:03,3:43,4:25,0:00
4/16/2025 7:00,4:58,5:07,4:57,3:58,5:54,0:00
4/16/2025 8:00,5:33,5:38,5:31,4:21,6:37,0:00
4/16/2025 9:00,5:41,5:44,5:34,4:17,6:59,0:00
4/16/2025 10:00,5:22,5:21,5:11,4:07,6:20,0:00
4/16/2025 11:00,5:34,5:41,5:24,4:25,6:32,0:00
4/16/2025 12:00,5:13,5:36,5:04,4:19,6:31,0:00
4/16/2025 13:00,5:07,5:20,5:01,4:13,6:15,0:00
4/16/2025 14:00,4:57,4:57,4:54,3:51,6:06,0:00
4/16/2025 15:00,5:12,5:10,5:08,4:13,6:06,0:00
4/16/2025 16:00,5:08,5:17,5:03,4:14,6:07,0:00
4/16/2025 17:00,5:05,5:19,4:52,4:09,6:14,0:00
4/16/2025 18:00,4:35,4:42,4:29,3:46,5:40,0:00
4/16/2025 19:00,4:29,4:37,4:28,3:50,5:19,0:00
4/16/2025 20:00,4:42,4:52,4:38,3:53,5:27,0:00
4/16/2025 21:00,4:38,4:48,4:29,3:46,5:28,0:00
4/16/2025 22:00,4:38,4:37,4:25,3:48,5:23,0:00
4/16/2025 23:00,4:33,4:34,4:22,3:46,5:17,0:00
4/17/2025 0:00,4:29,4:30,4:18,3:40,5:08,0:00
4/17/2025 1:00,4:29,4:31,4:17,3:39,5:05,0:00
4/17/2025 2:00,4:25,4:24,4:15,3:35,5:00,0:00
4/17/2025 3:00,4:21,4:20,4:16,3:30,4:57,0:00
4/17/2025 4:00,4:16,4:16,4:10,3:27,4:50,0:00
4/17/2025 5:00,4:07,4:12,4:04,3:23,4:36,0:00
4/17/2025 6:00,4:13,4:22,4:11,3:37,4:39,0:00
4/17/2025 7:00,4:49,4:59,4:39,3:58,5:44,0:00
4/17/2025 8:00,5:40,5:53,5:32,4:24,7:05,0:00
4/17/2025 9:00,5:31,5:41,5:20,4:24,6:35,0:00
4/17/2025 10:00,5:30,5:36,5:24,4:24,6:35,0:00
4/17/2025 11:00,5:31,5:43,5:28,4:18,6:50,0:00
4/17/2025 12:00,5:30,5:31,5:25,4:16,6:39,0:00
4/17/2025 13:00,5:36,5:41,5:28,4:17,6:53,0:00
4/17/2025 14:00,6:03,6:24,5:47,4:36,7:33,0:00
4/17/2025 15:00,5:51,6:05,5:39,4:37,7:10,0:00
4/17/2025 16:00,5:42,5:58,5:34,4:33,6:57,0:00
4/17/2025 17:00,4:58,5:17,4:53,4:05,6:21,0:00
4/17/2025 18:00,4:53,4:56,4:49,4:01,5:44,0:00
4/17/2025 19:00,4:51,5:01,4:52,4:07,5:48,0:00
4/17/2025 20:00,5:43,5:59,5:34,4:36,7:00,0:00
4/17/2025 21:00,5:52,6:07,5:49,4:36,7:06,0:00
4/17/2025 22:00,5:12,5:17,5:05,4:14,6:06,0:00
4/17/2025 23:00,4:59,5:01,4:53,4:03,5:43,0:00
4/18/2025 0:00,4:57,4:58,4:53,3:57,5:40,0:00
4/18/2025 1:00,4:54,4:55,4:45,3:53,5:34,0:00
4/18/2025 2:00,4:39,4:41,4:31,3:46,5:20,0:00
4/18/2025 3:00,4:33,4:36,4:27,3:44,5:11,0:00
4/18/2025 4:00,4:23,4:22,4:11,3:34,4:51,0:00
4/18/2025 5:00,4:04,4:04,3:56,3:27,4:29,0:00
4/18/2025 6:00,4:11,4:11,4:07,3:41,4:32,0:00
4/18/2025 7:00,4:47,4:52,4:42,3:55,5:29,0:00
4/18/2025 8:00,5:39,5:45,5:38,4:30,6:54,0:00
4/18/2025 9:00,5:26,5:25,5:22,4:24,6:18,0:00
4/18/2025 10:00,6:01,6:07,5:53,4:36,7:14,0:00
4/18/2025 11:00,6:09,6:14,6:06,4:41,7:44,0:00
4/18/2025 12:00,5:58,6:13,5:56,4:36,7:43,0:00
4/18/2025 13:00,6:11,6:17,6:08,4:56,7:50,0:00
4/18/2025 14:00,6:22,6:21,6:14,4:47,7:59,0:00
4/18/2025 15:00,9:15,9:21,9:13,7:11,11:08,0:00
4/18/2025 16:00,6:05,6:13,6:03,4:46,7:29,0:00
4/18/2025 17:00,5:55,5:59,5:37,4:28,7:20,0:00
4/18/2025 18:00,5:34,5:42,5:26,4:29,6:44,0:00
4/18/2025 19:00,5:18,5:21,5:08,4:18,6:08,0:00
4/18/2025 20:00,5:19,5:29,5:14,4:12,6:25,0:00
4/18/2025 21:00,5:38,5:50,5:33,4:34,6:48,0:00
4/18/2025 22:00,5:11,5:18,5:02,4:19,6:00,0:00
4/18/2025 23:00,4:46,4:53,4:41,4:07,5:32,0:00
4/21/2025 0:00,4:21,4:29,4:23,3:44,5:03,0:00
